geoid,county_name,state,state_name,schools_within_25mi,schools_within_50mi,schools_within_75mi,population_18_24,eas_25mi_per10k,eas_50mi_per10k,eas_75mi_per10k
1069,Houston County,AL,Alabama,1,2,7,95421.0,0.1047987340312929,0.2095974680625858,0.7335911382190503
1023,Choctaw County,AL,Alabama,0,2,7,9937.0,0.0,2.0126798832645667,7.044379591425984
1113,Russell County,AL,Alabama,1,5,14,54032.0,0.1850755108084098,0.9253775540420491,2.5910571513177376
10005,Sussex County,DE,Delaware,1,6,21,177579.0,0.056312964933916736,0.3378777896035004,1.1825722636122515
1071,Jackson County,AL,Alabama,0,8,18,43367.0,0.0,1.8447206401180622,4.150621440265639
1089,Madison County,AL,Alabama,5,8,13,362987.0,0.1377459798835771,0.22039356781372335,0.35813954769730044
4015,Mohave County,AZ,Arizona,0,0,4,151044.0,0.0,0.0,0.26482349514048886
5017,Chicot County,AR,Arkansas,0,2,4,8481.0,0.0,2.358212474943992,4.716424949887984
5121,Randolph County,AR,Arkansas,1,4,6,16842.0,0.5937537109606935,2.375014843842774,3.562522265764161
5073,Lafayette County,AR,Arkansas,1,3,14,5044.0,1.9825535289452816,5.947660586835844,27.755749405233942
5057,Hempstead County,AR,Arkansas,0,5,6,17802.0,0.0,2.808673182788451,3.370407819346141
6079,San Luis Obispo County,CA,California,1,2,7,255977.0,0.03906600983682127,0.07813201967364254,0.27346206885774893
6081,San Mateo County,CA,California,22,43,56,640542.0,0.3434591330467011,0.6713064873185521,0.8742596113916027
6091,Sierra County,CA,California,0,2,11,1608.0,0.0,12.43781094527363,68.40796019900498
8067,La Plata County,CO,Colorado,1,1,1,46428.0,0.21538726630481608,0.21538726630481608,0.21538726630481608
12007,Bradford County,FL,Florida,3,10,11,23754.0,1.2629451881788332,4.209817293929444,4.630799023322388
10003,New Castle County,DE,Delaware,8,64,115,515833.0,0.1550889532077242,1.2407116256617936,2.2294037023610356
9190,Western Connecticut Planning Region,CT,Connecticut,11,110,212,546547.0,0.20126356928132438,2.012635692813244,3.8788978806946157
12009,Brevard County,FL,Florida,3,11,24,483517.0,0.062045388269698895,0.22749975698889593,0.49636310615759116
12131,Walton County,FL,Florida,1,3,6,63561.0,0.1573291798429855,0.47198753952895645,0.9439750790579129
12053,Hernando County,FL,Florida,1,13,27,156316.0,0.06397297781417129,0.8316487115842268,1.7272704009826247
12047,Hamilton County,FL,Florida,0,2,8,11377.0,0.0,1.757932671178694,7.031730684714776
12065,Jefferson County,FL,Florida,3,5,6,11291.0,2.6569834381365687,4.428305730227614,5.313966876273137
12031,Duval County,FL,Florida,6,8,12,928986.0,0.06458654920526251,0.08611539894035,0.12917309841052502
13105,Elbert County,GA,Georgia,1,10,24,16301.0,0.6134592969756457,6.134592969756457,14.723023127415496
13213,Murray County,GA,Georgia,1,12,28,36852.0,0.27135569304244,3.2562683165092805,7.597959405188321
16073,Owyhee County,ID,Idaho,0,0,5,11460.0,0.0,0.0,4.363001745200698
16049,Idaho County,ID,Idaho,0,0,0,12834.0,0.0,0.0,0.0
17105,Livingston County,IL,Illinois,0,4,25,31214.0,0.0,1.2814762606522714,8.009226629076696
17161,Rock Island County,IL,Illinois,5,9,20,128338.0,0.3895962224750269,0.7012732004550484,1.5583848899001076
27087,Mahnomen County,MN,Minnesota,1,5,14,5409.0,1.8487705675725643,9.243852837862821,25.882787946015902
18089,Lake County,IN,Indiana,7,47,60,454377.0,0.15405709355887293,1.0343833424667181,1.3204893733617677
4013,Maricopa County,AZ,Arizona,1,7,7,4221719.0,0.0023687033646720684,0.016580923552704477,0.016580923552704477
6067,Sacramento County,CA,California,9,17,40,1484172.0,0.06063987192859049,0.1145419803095598,0.2695105419048466
19159,Ringgold County,IA,Iowa,2,4,10,4020.0,4.975124378109452,9.950248756218905,24.87562189054726
6107,Tulare County,CA,California,1,2,9,514234.0,0.019446399887988738,0.038892799775977475,0.17501759899189862
6069,San Benito County,CA,California,0,6,23,64695.0,0.0,0.9274287039183863,3.555143365020481
19163,Scott County,IA,Iowa,5,11,18,160097.0,0.3123106616613678,0.6870834556550092,1.1243183819809242
27053,Hennepin County,MN,Minnesota,24,29,37,1169099.0,0.20528629311974436,0.24805427085302445,0.3164830352262725
17125,Mason County,IL,Illinois,0,12,17,10563.0,0.0,11.36040897472309,16.093912714191045
36005,Bronx County,NY,New York,143,174,218,1372189.0,1.0421304936856366,1.2680468944146905,1.588702430933348
20099,Labette County,KS,Kansas,3,8,12,17542.0,1.7101812792155968,4.5604834112415915,6.840725116862387
36119,Westchester County,NY,New York,44,176,206,879414.0,0.5003331764106553,2.0013327056426213,2.3424689622862496
36053,Madison County,NY,New York,10,21,33,59398.0,1.6835583689686522,3.5354725748341695,5.555742617596551
21235,Whitley County,KY,Kentucky,3,4,16,36352.0,0.8252640845070423,1.1003521126760563,4.401408450704225
44007,Providence County,RI,Rhode Island,14,79,122,600436.0,0.2331639008986803,1.315710583642553,2.0318568506884995
36029,Erie County,NY,New York,11,19,34,830522.0,0.1324468226007258,0.22877178449216276,0.409381088038607
48287,Lee County,TX,Texas,0,4,13,14907.0,0.0,2.683303146172939,8.72073522506205
36091,Saratoga County,NY,New York,7,24,37,195210.0,0.3585881870805799,1.2294452128477025,1.8953947031402079
1121,Talladega County,AL,Alabama,1,9,20,69557.0,0.14376698247480482,1.2939028422732435,2.8753396494960968
21133,Letcher County,KY,Kentucky,2,4,16,17301.0,1.156002543205595,2.31200508641119,9.24802034564476
38017,Cass County,ND,North Dakota,3,5,11,197032.0,0.15225953144666857,0.2537658857444476,0.5582849486377847
39035,Cuyahoga County,OH,Ohio,12,29,40,1088769.0,0.11021621666303873,0.26635585693567687,0.3673873888767957
39061,Hamilton County,OH,Ohio,15,21,33,774107.0,0.19377166205705412,0.2712803268798758,0.42629765652551904
22075,Plaquemines Parish,LA,Louisiana,0,10,11,21439.0,0.0,4.664396660291991,5.13083632632119
22031,De Soto Parish,LA,Louisiana,1,8,13,24150.0,0.41407867494824013,3.312629399585921,5.383022774327122
22111,Union Parish,LA,Louisiana,1,3,4,17389.0,0.5750761975961814,1.7252285927885445,2.300304790384726
22115,Vernon Parish,LA,Louisiana,0,3,5,49207.0,0.0,0.609669355985937,1.0161155933098949
1087,Macon County,AL,Alabama,2,11,14,18311.0,1.0922396373764405,6.007318005570422,7.645677461635083
1041,Crenshaw County,AL,Alabama,1,7,11,11412.0,0.8762705923589205,6.133894146512443,9.638976515948125
24005,Baltimore County,MD,Maryland,21,60,99,764419.0,0.2747184462971224,0.7849098465632068,1.2951012468292913
24019,Dorchester County,MD,Maryland,0,8,50,26914.0,0.0,2.9724307052091845,18.577691907557405
24017,Charles County,MD,Maryland,1,29,60,155666.0,0.06424010381200776,1.862963010548225,3.8544062287204657
24015,Cecil County,MD,Maryland,9,71,121,90293.0,0.9967550086939188,7.863289513029803,13.40081733910713
25001,Barnstable County,MA,Massachusetts,1,3,62,154813.0,0.06459405863848643,0.1937821759154593,4.004831635586159
25017,Middlesex County,MA,Massachusetts,52,86,120,1454825.0,0.3574313061708453,0.5911363909748595,0.8248414757788738
26103,Marquette County,MI,Michigan,1,1,3,61362.0,0.1629673087578632,0.1629673087578632,0.4889019262735895
26053,Gogebic County,MI,Michigan,1,1,3,10137.0,0.9864851533984413,0.9864851533984413,2.9594554601953242
26115,Monroe County,MI,Michigan,7,23,38,131192.0,0.5335691200682968,1.753155680224404,2.8965180803707544
26141,Presque Isle County,MI,Michigan,0,1,3,8462.0,0.0,1.181753722524226,3.545261167572678
27075,Lake County,MN,Minnesota,0,0,6,8230.0,0.0,0.0,7.2904009720534635
27163,Washington County,MN,Minnesota,20,29,35,249918.0,0.8002624860954393,1.160380604838387,1.4004593506670187
28001,Adams County,MS,Mississippi,0,1,9,25026.0,0.0,0.39958443219052187,3.596259889714697
28087,Lowndes County,MS,Mississippi,2,3,7,55013.0,0.363550433533892,0.5453256503008379,1.272426517368622
28143,Tunica County,MS,Mississippi,1,9,13,9547.0,1.0474494605635278,9.42704514507175,13.616842987325862
28139,Tippah County,MS,Mississippi,2,6,20,19895.0,1.0052777079668258,3.0158331239004776,10.052777079668257
29099,Jefferson County,MO,Missouri,1,22,24,201516.0,0.04962385120784454,1.0917247265725798,1.190972428988269
30001,Beaverhead County,MT,Montana,1,1,2,8209.0,1.2181751735899622,1.2181751735899622,2.4363503471799244
30105,Valley County,MT,Montana,0,0,1,6371.0,0.0,0.0,1.5696123057604772
30005,Blaine County,MT,Montana,1,3,3,7096.0,1.4092446448703495,4.227733934611048,4.227733934611048
30029,Flathead County,MT,Montana,1,2,3,91333.0,0.10948945069142589,0.21897890138285178,0.32846835207427766
33017,Strafford County,NH,New Hampshire,3,27,87,122978.0,0.24394607165509277,2.195514644895835,7.0744360779976905
34001,Atlantic County,NJ,New Jersey,3,48,92,235891.0,0.12717738277424742,2.0348381243879587,3.9001064050769214
34009,Cape May County,NJ,New Jersey,1,8,68,68387.0,0.14622662201880474,1.1698129761504379,9.943410297278723
34041,Warren County,NJ,New Jersey,9,64,273,90430.0,0.9952449408382174,7.077297357071768,30.189096538759262
34019,Hunterdon County,NJ,New Jersey,14,95,272,102908.0,1.3604384498775606,9.23154662416916,26.431375597621177
34025,Monmouth County,NJ,New Jersey,28,163,252,544258.0,0.5144618912354068,2.994903152548975,4.63015702111866
34023,Middlesex County,NJ,New Jersey,48,184,258,783999.0,0.6122456788847945,2.346941769058379,3.2908205240057704
35045,San Juan County,NM,New Mexico,0,0,3,116875.0,0.0,0.0,0.2566844919786096
36031,Essex County,NY,New York,1,9,18,26984.0,0.37058997924696113,3.3353098132226506,6.670619626445301
37047,Columbus County,NC,North Carolina,1,8,17,43113.0,0.23194860019019783,1.8555888015215827,3.9431262032333634
37039,Cherokee County,NC,North Carolina,2,8,22,19810.0,1.0095911155981827,4.038364462392731,11.10550227158001
37149,Polk County,NC,North Carolina,3,18,40,13528.0,2.2176227084565348,13.305736250739209,29.568302779420463
37009,Ashe County,NC,North Carolina,1,10,30,19575.0,0.5108556832694764,5.108556832694764,15.32567049808429
37055,Dare County,NC,North Carolina,0,3,8,27157.0,0.0,1.1046875575358104,2.9458334867621607
37091,Hertford County,NC,North Carolina,2,8,29,17793.0,1.1240375428539313,4.496150171415725,16.298544371382004
38097,Traill County,ND,North Dakota,1,6,9,7279.0,1.3738150844896275,8.242890506937766,12.364335760406648
38053,McKenzie County,ND,North Dakota,0,2,3,14933.0,0.0,1.3393156097234313,2.0089734145851468
39167,Washington County,OH,Ohio,3,8,24,49332.0,0.6081245439065921,1.621665450417579,4.864996351252737
40095,Marshall County,OK,Oklahoma,2,4,11,13525.0,1.478743068391867,2.957486136783734,8.133086876155268
41015,Curry County,OR,Oregon,0,1,4,14098.0,0.0,0.7093204709887927,2.837281883955171
41007,Clatsop County,OR,Oregon,1,4,23,31761.0,0.31485154749535593,1.2594061899814237,7.241585592393186
41035,Klamath County,OR,Oregon,0,1,3,59104.0,0.0,0.16919328641039524,0.5075798592311858
41033,Josephine County,OR,Oregon,1,3,4,68149.0,0.14673729621857987,0.4402118886557396,0.5869491848743195
41065,Wasco County,OR,Oregon,0,1,17,23091.0,0.0,0.43306916114503485,7.3621757394655925
48037,Bowie County,TX,Texas,2,3,8,85939.0,0.23272321064941412,0.34908481597412117,0.9308928425976565
42071,Lancaster County,PA,Pennsylvania,11,45,125,508639.0,0.21626340095824345,0.884713913010996,2.4575386472527665
42095,Northampton County,PA,Pennsylvania,11,54,214,276239.0,0.39820590141145895,1.9548289705653439,7.746914809277474
44009,Washington County,RI,Rhode Island,5,26,105,109082.0,0.4583707669459673,2.3835279881190297,9.625786105865313
45013,Beaufort County,SC,South Carolina,1,3,12,154158.0,0.06486851152713449,0.1946055345814035,0.778422138325614
45051,Horry County,SC,South Carolina,1,4,12,274143.0,0.03647731293521994,0.14590925174087976,0.4377277552226393
45091,York County,SC,South Carolina,5,23,43,265463.0,0.18835016555979553,0.8664107615750595,1.6198114238142416
46023,Charles Mix County,SD,South Dakota,0,2,3,9231.0,0.0,2.1666125013541326,3.2499187520311996
4007,Gila County,AZ,Arizona,0,0,0,40058.0,0.0,0.0,0.0
47157,Shelby County,TN,Tennessee,8,10,18,886140.0,0.09027918839009637,0.11284898548762047,0.20312817387771684
47165,Sumner County,TN,Tennessee,5,17,19,179677.0,0.2782771306288506,0.9461422441380923,1.0574530963896325
47019,Carter County,TN,Tennessee,5,12,19,44967.0,1.1119265238953009,2.6686236573487223,4.225320790802144
47123,Monroe County,TN,Tennessee,1,10,20,38266.0,0.2613285945748184,2.6132859457481836,5.226571891496367
47013,Campbell County,TN,Tennessee,1,10,12,32280.0,0.30978934324659235,3.097893432465923,3.717472118959108
48273,Kleberg County,TX,Texas,1,3,4,34394.0,0.2907483863464558,0.8722451590393674,1.1629935453858231
48229,Hudspeth County,TX,Texas,0,0,3,3519.0,0.0,0.0,8.525149190110827
48419,Shelby County,TX,Texas,0,2,13,22286.0,0.0,0.8974243919949745,5.833258547967334
48301,Loving County,TX,Texas,0,0,5,29.0,0.0,0.0,1724.1379310344828
49037,San Juan County,UT,Utah,0,0,0,14987.0,0.0,0.0,0.0
49019,Grand County,UT,Utah,0,0,1,8522.0,0.0,0.0,1.1734334663224595
49049,Utah County,UT,Utah,2,7,9,846787.0,0.02361869041447259,0.08266541645065406,0.10628410686512665
